symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
WIPRO,2025-08-19,245.21,245.46,247.5,244.78,247.15,246.96,246.52,4090961,64648
WIPRO,2025-08-18,246.81,248.64,249.01,244.76,245.6,245.21,246.6,5789317,72478
WIPRO,2025-08-14,241.65,243.1,248.43,242.41,246.5,246.81,246.6,12857225,111213
WIPRO,2025-08-13,241.72,242.89,242.89,240.12,241.55,241.65,241.43,5820844,71750
WIPRO,2025-08-12,241.62,242.7,246.29,241.1,241.3,241.72,243.34,8101435,96929
WIPRO,2025-08-11,239.05,239.05,244.75,238.62,241.5,241.62,240.78,3047287,63216
WIPRO,2025-08-08,242.32,242.4,243.25,238.4,239.33,239.05,239.78,8922847,79296
WIPRO,2025-08-07,239.96,239.11,243.18,238.61,242.8,242.32,240.43,6190830,85305
WIPRO,2025-08-06,245.91,246,246,239.31,239.75,239.96,241.24,7700190,103533
WIPRO,2025-08-05,246.05,246.05,246.95,244.53,245.45,245.91,245.58,7383968,64537
WIPRO,2025-08-04,242.75,242.75,246.42,241.1,245.8,246.05,244.34,5234393,64857
WIPRO,2025-08-01,248.3,246.5,246.9,242.2,242.38,242.75,243.72,7436999,99441
WIPRO,2025-07-31,250.2,248.1,250.15,246.05,248.25,248.3,248.09,7338764,84657
WIPRO,2025-07-30,251.8,251.45,252.5,249.2,250.25,250.2,250.6,6057152,63965
WIPRO,2025-07-29,250.05,249.2,252.7,247.25,251.35,251.8,250.27,12923128,87366
WIPRO,2025-07-28,259.2,254,254,249,250.2,250.05,250.97,8998911,122372
WIPRO,2025-07-25,261.85,261.8,262.05,256.05,259.7,259.2,258.44,8427780,96017
WIPRO,2025-07-24,261.4,262,263.4,260.25,262.2,261.85,261.68,8139900,70205
WIPRO,2025-07-23,259.7,260.25,261.75,258.15,261,261.4,260.27,6510321,56622
WIPRO,2025-07-22,260.35,261.7,262.15,258.75,260.1,259.7,260,6724044,68578
WIPRO,2025-07-21,266.95,266.95,267.15,259.2,260.9,260.35,261.05,12190000,105649
WIPRO,2025-07-18,260.6,268.6,271.9,265.6,266.35,266.95,267.74,30319126,206966
WIPRO,2025-07-17,262.8,263.85,264.35,258,258.75,260.6,261.28,7484171,76199
