symbol,trade_date,prev_close,open_price,high_price,low_price,last_price,close_price,avg_price,volume,no_of_trades
M&M,2025-06-20,3094.80,3100.00,3203.00,3090.30,3189.90,3184.40,3173.67,8315834,233029
M&M,2025-06-19,3041.10,3038.00,3106.90,3034.20,3089.00,3094.80,3082.49,2482920,107167
M&M,2025-06-18,3007.20,3000.00,3074.90,2986.60,3038.00,3041.10,3043.90,2161043,93881
M&M,2025-06-17,3023.60,3043.00,3043.00,2994.00,3008.00,3007.20,3008.48,1455355,113661
M&M,2025-06-16,3006.00,3001.00,3045.00,2988.10,3021.00,3023.60,3019.76,1673726,82046
M&M,2025-06-13,3019.20,2932.00,3018.50,2932.00,3005.90,3006.00,2990.46,2003184,102647
M&M,2025-06-12,3080.70,3088.00,3094.00,3007.00,3008.00,3019.20,3035.72,2278398,117848
M&M,2025-06-11,3067.50,3085.00,3124.00,3076.00,3082.00,3080.70,3096.19,1749787,81643
M&M,2025-06-10,3087.40,3102.00,3106.90,3059.80,3075.20,3067.50,3082.98,1787253,111508
M&M,2025-06-09,3106.50,3130.00,3141.00,3078.00,3085.00,3087.40,3101.96,1364639,76538
M&M,2025-06-06,3041.60,3041.60,3112.90,3027.00,3106.50,3106.50,3075.56,2028071,95355
M&M,2025-06-05,3053.40,3078.00,3095.00,2994.80,3045.00,3041.60,3049.40,3504632,143954
M&M,2025-06-04,3046.50,3045.10,3087.00,3040.10,3051.00,3053.40,3061.48,1584653,82506
M&M,2025-06-03,3025.90,3042.00,3064.80,3027.00,3044.00,3046.50,3045.88,3204094,139606
M&M,2025-06-02,2976.80,2976.80,3038.50,2962.30,3024.00,3025.90,3015.36,2967741,170070
M&M,2025-05-30,3009.00,3005.00,3017.40,2957.00,2971.00,2976.80,2977.23,3700191,113144
M&M,2025-05-29,2997.80,2999.00,3028.90,2987.20,3013.60,3009.00,3003.39,2093429,102777
M&M,2025-05-28,3039.80,3039.70,3044.80,2993.00,2994.50,2997.80,3009.00,1491995,93521
M&M,2025-05-27,3080.20,3080.20,3085.00,3014.60,3042.00,3039.80,3040.70,2599143,130075
M&M,2025-05-26,3012.70,3038.00,3101.00,3027.70,3075.00,3080.20,3078.97,2164190,150987
M&M,2025-05-23,3006.30,3020.00,3030.80,2984.20,3014.80,3012.70,3011.07,1828093,105053
M&M,2025-05-22,3090.70,3076.60,3089.80,2980.50,3016.00,3006.30,3010.09,3870830,187573
M&M,2025-05-21,3063.50,3063.00,3132.00,3048.10,3086.30,3090.70,3096.44,1395136,78449
M&M,2025-05-20,3128.00,3128.20,3135.30,3049.10,3073.00,3063.50,3076.55,2667772,115914
M&M,2025-05-19,3135.60,3115.00,3157.00,3103.60,3125.00,3128.00,3133.83,2011149,149542
M&M,2025-05-16,3144.30,3135.00,3149.50,3115.00,3133.90,3135.60,3134.27,2269659,186310
